checkpoint,checkpoint_path,tokenizer_type,cer,ser,ler,cer_kern,ser_kern,ler_kern,cer_mxhm,ser_mxhm,ler_mxhm,error
smt_character,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_character.ckpt,character,52.6754367412546,42.11490955454618,84.45136186770428,77.58179959100204,71.99074074074075,111.2255678816693,81.40103176758078,93.29710144927536,100.24630541871922,
smt_medium,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_medium.ckpt,medium,51.55507827020776,42.712566738385526,79.75097276264592,72.795245398773,67.2930283224401,101.34706814580032,73.90714091773012,80.6159420289855,110.83743842364532,
smt_pre_character,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_character.ckpt,character,15.790364197791972,13.020957845246633,32.824902723735406,14.008179959100204,17.061546840958606,29.741151611199154,24.097203366820526,31.068840579710145,48.522167487684726,
smt_pre_medium,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_medium.ckpt,medium,14.452108545702366,12.144393975615587,30.723735408560312,11.509458077709612,14.583333333333334,25.435816164817748,25.848493076296496,33.28804347826087,53.03776683087028,
smt_pre_syn_character,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_syn_character.ckpt,character,12.554460471215261,10.319547374292773,26.054474708171206,9.490030674846626,12.309368191721132,21.341785525620708,19.8886777083899,26.58514492753623,39.6551724137931,
smt_pre_syn_medium,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_syn_medium.ckpt,medium,12.996158770806659,10.897282652004144,28.09338521400778,10.48696319018405,13.711873638344226,24.035921817221343,23.01113222916101,29.80072463768116,46.141215106732346,
smt_pre_syn_word,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_syn_word.ckpt,word,16.107609661181844,12.244003506255478,31.470817120622566,13.893149284253578,15.468409586056644,27.099841521394612,32.50067879446104,38.13405797101449,58.62068965517241,
smt_pre_word,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_pre_word.ckpt,word,22.389069836301342,17.304167662761973,43.36186770428016,26.584867075664622,26.9880174291939,47.59640781827787,38.636980722237304,46.24094202898551,71.42857142857143,
smt_syn_character,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_syn_character.ckpt,character,40.133666088574934,32.61216033150052,68.68482490272373,53.18890593047035,52.5735294117647,87.08399366085578,60.399131143089875,64.9909420289855,97.86535303776684,
smt_syn_medium,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_syn_medium.ckpt,medium,52.22626079054975,42.346003665630725,82.55252918287938,73.26175869120654,67.30664488017429,105.73164289487586,74.32799348357318,82.20108695652173,112.64367816091954,
smt_syn_word,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_syn_word.ckpt,word,51.702550653525655,39.80396844370069,76.59143968871595,76.20782208588957,70.62908496732027,97.75488642366614,100.0,99.77355072463769,99.58949096880131,
smt_word,/home/hice1/jwang3180/jazzmus/ISMIR-Jazzmus/weights/smt_sys_best/smt_word.ckpt,word,,,,,,,,,,cannot access local variable 'cer_kern' where it is not associated with a value
