checkpoint_name,cer,ser,ler,cer_kern,ser_kern,ler_kern,cer_mxhm,ser_mxhm,ler_mxhm,tokenizer_type
smt_pre_syn_medium.ckpt,88.05877172255279,87.67296592077173,93.5408560311284,89.42479237157798,90.85980837115481,95.32898041185334,89.46705502637172,86.72413793103448,87.77073428420496,medium
smt_pre_syn_word.ckpt,88.94808068223315,88.16320075907329,92.57587548638132,92.01476468778837,92.53656076651538,95.605223505776,90.25427064472959,89.57559681697613,90.25356576862124,word
smt_pre_syn_character.ckpt,83.68741004876162,80.61990986004587,90.35019455252919,83.66656413411258,84.80837115481593,93.5208437970869,85.05864756356766,77.42705570291777,79.10723718964607,character
smt_pre_medium.ckpt,88.00721757996263,86.50272791966474,93.29182879377431,88.84035681328822,90.35552193645991,95.73078854846811,89.87640714791782,85.3183023872679,86.4500792393027,medium
smt_syn_medium.ckpt,89.05333705668808,88.84320392187871,94.86381322957199,90.46447247000923,92.18356026222895,97.46358613761929,88.82941037550185,87.10875331564986,88.03486529318542,medium
smt_pre_word.ckpt,88.71823512985199,87.937850873725,92.84046692607004,90.70230675319668,92.18484094776804,96.24511082138201,90.68059409172515,88.22476242941744,88.7822270981898,word
smt_pre_character.ckpt,88.66453289798724,88.42413220526608,93.68093385214007,90.41525684404799,92.523953605648,96.98643897538925,90.44320239313548,89.21750663129974,90.59693608029583,character
smt_syn_character.ckpt,85.99016175112237,84.9410927492686,93.41634241245136,85.67825284527838,88.18709026727181,96.10748367654445,84.94056522081398,79.96021220159152,80.6920232435288,character
smt_syn_word.ckpt,90.7675122978111,88.32134102949315,91.8443579766537,94.82620732082437,94.35199193141705,96.50929181315922,94.89884279304101,91.40583554376659,91.0459587955626,word
smt_character.ckpt,88.84282430777823,89.26227563849135,94.53696498054475,91.21501076591818,92.77609682299546,97.26268206931191,88.15240494371409,88.85941644562334,90.06867406233492,character
smt_medium.ckpt,87.16087040577406,87.18273108247016,94.58365758754864,88.871116579514,91.33888048411498,98.01607232546459,85.72778083917184,85.6631299734748,87.5066032752245,medium
smt_word.ckpt,84.21798809958541,82.39898790226931,93.68093385214007,82.28237465395263,86.42208774583963,97.3631341034656,83.5708100448713,74.62864721485411,75.14527205493926,word
